,count
Italian,21090
Mexican,16298
American,14125
French,9609
Indian,9080
Chinese,8922
Greek,7551
Thai,6066
Argentine,5839
Canadian,5783
Japanese,5173
Spanish,4433
Australian,4096
British,4045
German,2420
Irish,2306
Nigerian,2130
Rest Middle Eastern,1926
Rest Caribbean,1704
Swedish,1655
Swiss,1333
Moroccan,1282
New Zealand,1016
Russian,753
Vietnamese,696
Dutch,693
Polish,681
Portuguese,615
Korean,597
Filipino,595
Hungarian,566
Cuban,446
Indonesian,439
Brazilian,406
Norwegian,391
Danish,389
Turkish,387
Lebanese,368
Austrian,344
Pakistani,335
Belgian,321
Honduran,309
Egyptian,305
Malaysian,240
Czech,236
Peruvian,215
Puerto Rican,191
Chilean,147
Finnish,145
Colombian,132
Ethiopian,121
Rest Eastern European,98
Saudi Arabian,95
Iraqi,92
Nepali,90
Cambodian,80
Mongolian,72
Venezuelan,64
Palestinian,61
Algerian,60
Jamaican,56
Kenyan,55
Lao,55
South African,51
Guatemalan,43
Sudanese,41
Cameroonian,35
Israeli,35
Costa Rican,34
Iranian,28
Libyan,28
Burmese,28
Ecuadorian,26
Congolese,22
Bangladeshi,21
Romanian,20
Croatian,20
Ukrainian,19
Ugandan,19
Namibian,16
Somali,16
Serbian,15
Singaporean,15
Angolan,14
Tunisian,13
Slovenian,12
Bulgarian,12
Georgian,11
Ghanaian,11
Sri Lankan,11
Icelandic,10
Moldovan,10
Belarusian,8
Slovak,8
Tanzanian,8
Hong Kong,7
Lithuanian,7
Yemeni,6
Uzbek,6
Syrian,6
Eritrean,5
Macedonian,5
Jordanian,5
Armenian,5
Luxembourgish,4
Maltese,4
Bruneian,4
Azerbaijani,4
Gabonese,4
Trinidadian,4
Paraguayan,4
Cypriot,3
Senegalese,3
Bosnian,3
Albanian,3
Latvian,3
Nigerien,3
Kazakh,3
Zimbabwean,3
Equatoguinean,2
Uruguayan,2
Nicaraguan,2
Mozambican,2
Central African,2
Dominican,2
Togolese,2
Estonian,1
Malagasy,1
Cape Verdean,1
Mauritanian,1
Gambian,1
Burundian,1
Seychellois,1
South Sudanese,1
Kyrgyz,1
Guyanese,1
Macanese,1
Tajik,1
Malian,1
North Korean,1
Grenadian,1
Bolivian,1
Sahrawi,1
Beninese,1
Basotho,1
Guernsey,1
Afghan,1
Bhutanese,1
Burkinabé,1
Djiboutian,1
Montenegrin,1
Batswana,1
