combo,count
1 teaspoon salt,62131
1 onion,45898
1 clove garlic,42726
1 egg,32313
1 tablespoon olive oil,29397
1 cup water,28700
1 salt,20677
1 cup flour,20260
1 tablespoon butter,19743
1 teaspoon black pepper,18899
1 cup sugar,17474
1 teaspoon cumin,15147
1 tomato,14127
1 teaspoon pepper,14061
1 cup milk,13430
1 cup onion,13038
1 cup butter,12375
1 bell pepper,11549
"1 salt, pepper",10829
1 lb beef,10713
1 tablespoon soy sauce,10251
1 tablespoon sugar,9974
1 garlic,9834
1 pepper,9494
1 cup olive oil,9483
1 cup cilantro,9375
1 teaspoon cinnamon,8976
1 green onion,8936
1 can tomato,8585
1 teaspoon oregano,8524
1 carrot,8498
1 tablespoon vegetable oil,8476
1 tablespoon lemon juice,8429
1 teaspoon sugar,8404
1 cup parmesan cheese,8279
1 tablespoon parsley,7717
1 tablespoon oil,7392
1 cup rice,7283
1 teaspoon ginger,7014
1 bay leaf,6829
1 lime,6778
1 cup chicken broth,6639
1 lemon,6639
1 potato,6639
1 teaspoon chili powder,6567
1 cup yogurt,6386
1 tablespoon flour,6312
1 teaspoon vanilla extract,6272
1 teaspoon turmeric,6247
1 black pepper,6180
1 teaspoon paprika,6049
1 cup tomato,5940
1 tablespoon ginger,5814
1 cup parsley,5771
1 teaspoon baking powder,5743
1 teaspoon garlic powder,5627
1 teaspoon cayenne pepper,5485
1 cup sour cream,5420
1 cup brown sugar,5386
1 chicken breast,5367
1 cup cheddar cheese,5237
1 jalapeno,5150
1 teaspoon coriander,4950
1 teaspoon thyme,4905
1 teaspoon red pepper flakes,4787
1 tablespoon lime juice,4754
1 avocado,4641
1 teaspoon garlic,4421
1 tablespoon cilantro,4322
1 tablespoon garlic,4304
1 tablespoon water,4245
1 tablespoon honey,4148
1 egg yolk,4078
1 teaspoon nutmeg,4056
1 cup basil,3958
1 cucumber,3954
1 tablespoon brown sugar,3927
1 teaspoon mustard,3910
1 cup wine,3862
1 shallot,3796
1 cup bread crumbs,3733
1 cup chicken stock,3708
1 teaspoon baking soda,3703
1 cup carrot,3627
1 tablespoon salt,3616
1 cup mayonnaise,3567
1 teaspoon sesame oil,3521
1 teaspoon olive oil,3512
1 chili pepper,3407
1 teaspoon vanilla,3369
1 tablespoon cornstarch,3351
1 cooking spray,3349
1 cup white wine,3329
1 teaspoon basil,3320
1 chili,3315
1 lb shrimp,3305
1 inch ginger,3243
1 cup green onion,3240
1 cup mozzarella cheese,3232
1 lb chicken breast,3219
1 cup vegetable oil,3210
1 cup soy sauce,3162
1 tablespoon fish sauce,3137
1 cup powdered sugar,3108
1 tablespoon mustard,3096
1 cup heavy cream,3042
1 zucchini,3041
1 cup cheese,2866
1 slice bacon,2860
1 cup almonds,2800
1 lb chicken,2796
1 teaspoon garam masala,2784
1 cup bell pepper,2780
1 slice bread,2779
1 lb potato,2770
1 cup raisin,2766
1 tablespoon tomato paste,2758
1 stalk celery,2732
1 chicken,2715
1 tablespoon coriander,2708
1 cup corn,2702
1 bread,2640
1 cup celery,2608
1 cup cream,2573
1 tablespoon sesame oil,2554
1 cup salsa,2540
1 apple,2518
1 cup mushroom,2492
1 can black beans,2479
1 g butter,2468
1 teaspoon lemon juice,2448
1 tablespoon basil,2419
1 tablespoon chili powder,2415
1 flour tortilla,2411
1 cup spinach,2410
1 cup olive,2380
1 tablespoon canola oil,2373
1 lb pork,2368
1 egg whites,2343
1 cup coconut milk,2314
1 cup lemon juice,2270
1 cup panko,2254
1 olive oil,2253
1 tablespoon cumin,2241
1 can tomato sauce,2232
1 tablespoon oregano,2170
1 tablespoon sesame seeds,2164
1 tablespoon vinegar,2140
1 stick cinnamon,2100
1 cup feta cheese,2098
1 clove,2089
1 cup coconut,2070
1 corn tortilla,2070
1 tablespoon rice vinegar,2060
1 cup orange juice,2057
1 celery,2048
1 cup walnut,2038
1 cup cabbage,1963
1 cup peas,1959
1 orange,1952
1 tablespoon parmesan cheese,1913
1 tablespoon onion,1905
1 eggplant,1902
1 tablespoon Worcestershire sauce,1892
1 cup whipping cream,1891
1 teaspoon curry powder,1891
1 teaspoon clove,1868
1 teaspoon onion powder,1857
1 lemon juice,1844
1 cup peanut,1843
1 teaspoon white pepper,1829
1 teaspoon cornstarch,1828
1 teaspoon allspice,1816
1 oz cream cheese,1800
1 oil,1792
1 teaspoon lemon zest,1781
1 tortilla,1780
1 tablespoon paprika,1778
1 cup mint,1757
1 cardamom,1751
1 cup oil,1740
1 cup beef broth,1725
1 cup pecan,1721
1 tablespoon milk,1716
1 tablespoon balsamic vinegar,1715
1 tablespoon red wine vinegar,1713
1 banana,1712
1 lb sausage,1711
1 cup honey,1706
1 teaspoon cardamom,1704
1 water,1672
1 teaspoon soy sauce,1653
1 teaspoon rosemary,1629
1 cup lime juice,1614
1 teaspoon parsley,1551
1 cup potato,1546
1 oz butter,1542
1 tablespoon peanut oil,1541
1 cup buttermilk,1520
1 cilantro,1518
1 teaspoon Worcestershire sauce,1517
1 oz tomato,1512
1 can coconut milk,1495
1 teaspoon red pepper,1495
1 cup chicken,1478
1 tablespoon chives,1478
1 sour cream,1465
1 cup ketchup,1444
1 teaspoon yeast,1436
1 tablespoon thyme,1434
1 cup vinegar,1432
1 parsley,1419
1 teaspoon mustard seed,1413
1 sugar,1410
1 tablespoon mint,1386
1 tablespoon curry powder,1378
1 cup monterey jack cheese,1364
1 cup tomato sauce,1362
1 cup vegetable broth,1360
1 pack cream cheese,1357
1 leek,1354
1 can green chili,1326
1 sprig thyme,1315
1 can corn,1280
1 spring onion,1271
1 cup peanut butter,1271
1 salt and pepper,1270
1 oz mushroom,1248
1 parmesan cheese,1239
1 tablespoon oyster sauce,1234
1 cup broccoli,1231
1 lb mushroom,1228
1 tablespoon corn starch,1227
1 can tomato paste,1222
1 tablespoon mayonnaise,1219
1 cayenne pepper,1210
1 teaspoon butter,1206
1 tablespoon dill,1197
1 tablespoon apple cider vinegar,1191
1 cup lettuce,1185
1 nutmeg,1180
1 cup ricotta,1177
1 green bell pepper,1174
1 cup brown rice,1161
1 lb lamb,1154
1 vegetable oil,1153
1 tablespoon capers,1151
1 teaspoon brown sugar,1140
1 mango,1126
1 bunch cilantro,1120
1 teaspoon vegetable oil,1111
1 lettuce,1105
1 lb turkey,1091
1 teaspoon garlic salt,1087
1 g flour,1086
1 basil,1079
1 lb tomato,1071
1 can chicken broth,1071
1 teaspoon fennel seed,1066
1 cup coriander,1065
1 egg white,1060
1 cup cornmeal,1056
1 cup cashew,1043
1 red pepper,1037
1 lb chicken thigh,1028
