unit,unit_std
1-quart,quart
12-inch,inch
Becher,cup
Blatt,sheet
Blätter,sheet
Bund,bunch
C,cup
Can,can
Cans,can
Clove,clove
Cloves,clove
Cup,cup
Dose,can
Dosen,can
EL,tablespoon
El,tablespoon
Flasche,bottle
Glas,jar
Handvoll,handful
KG,kg
Knoblauchzehe,clove
Kopf,head
Kugel,ball
Kugeln,ball
L,l
Links,
Liter,l
Messerspitze,
Msp.,
Pack,pack
Packung,pack
Paket,
Pck,pack
Pck.,pack
Pound,lb
Prise,
Päckchen,pack
Rolle,roll
Scheibe,slice
Scheiben,slice
Schöpfkelle,scoop
Scoops,scoop
Slices,slice
Spritzer,dash
Stange,stick
Stiele,stalk
Stängel,stalk
Stück,
T,teaspoon
T.,teaspoon
TB,tablespoon
TBS,tablespoon
TBSP,tablespoon
TL,teaspoon
TSP,teaspoon
Tablespoon,tablespoon
Tablespoons,tablespoon
Tasse,cup
Tb,tablespoon
Tbl,tablespoon
Tbls,tablespoon
Tblsp,tablespoon
Tbs,tablespoon
Tbs.,
Tbsp,tablespoon
Teaspoon,teaspoon
Teelöffel,
Topf,pan
Tsp,teaspoon
Töpfchen,pan
Töpfe,pan
Würfel,cube
Zehe,clove
Zehen,clove
Zweig,sprig
Zweig/e,sprig
Zweige,sprig
bag,bag
bags,bag
baguettes,
ball,ball
balls,ball
bar,bar
bars,bar
barspoons,spoon
basket,basket
baskets,basket
batch,set
batches,set
beads,
bean,
beans,
becher,cup
berries,
bird,
biscuits,
bit,
blades,
block,bar
blocks,bar
bos,bunch
bosje,bunch
bottle,bottle
bottles,bottle
bouillon cube,cube
bowl,bowl
bowls,bowl
box,box
boxes,box
branch,branch
branches,branch
bread,
breasts,
brick,bar
btl,bottle
btls,bottle
bu,
buckets,bucket
bulb,
bulbs,
bun,
bunch,bunch
bunches,bunch
bund,bunch
bundle,bunch
bundles,bunch
buns,
bush,
bushel,
bx,box
c,cup
c.,cup
cake,
cakes,
can,can
can(s),can
candies,
candy bars,
cans,can
cap,
capful,
caps,
capsules,
carton,box
cartons,box
cartoon,
case,box
cases,box
cello bags,bag
centiliters,
centimeter,cm
chops,
chps,
chunk,
chunks,
cl,
clove,clove
clove(s),clove
cloves,clove
clumps,
clusters,
clv,clove
cm,cm
cms,cm
cob,
cobs,
coil,
cone,
cones,
cont,
container,
containers,
containter,
cookie,
cookies,
count,count
cp,cup
cranks,
crates,
crust,
crusts,
cube,cube
cubes,cube
cubic inch,inch
cup,cup
cupe,cup
cupls,cup
cups,cup
cutlet,
cuts,
cylinder,
dash,dash
dashes,dash
deciliter,
deciliters,
demitasse spoon,spoon
dessertspoonful,spoon
disc,
discs,
disk,
disks,
dl,
dollop,
dollops,
dose,can
dozen,count
drizzle,
drizzles,
drop,
drops,
dsp,
ea,count
each,count
ear,
ears,
eetlepel,tablespoon
